User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
angelfrmcanada,t,0.1027,0.101,0.78,0.119,RT @PolitiFact: NEW: Priebus says there's no clear report on Russia trying to shape US election. False. @MeetThePress https://t.co/YbOVAjVb
parandersj,NewYorker,0.5122,0.0,0.858,0.142,"RT @NewYorker: The election of Donald Trump to the Presidency is nothing less than a tragedy for America, David Remnick writes. https://t.c"
parandersj,,0.5122,0.0,0.858,0.142,"RT @NewYorker: The election of Donald Trump to the Presidency is nothing less than a tragedy for America, David Remnick writes. https://t.c"
Winston_Truth,Neighbors4Hill,0.0,0.0,1.0,0.0,RT @Neighbors4Hill: Call Mitch McConnell 202-224-2541 to ask him why he kept us in the dark about foreign interference in our election
Tabitha__Lily,SaysSimonson,-0.4588,0.13,0.87,0.0,RT @SaysSimonson: @RichardGrenell @RyanLizza the people attacking trump for the intel briefings are the same people who reported on an elec
tardiskitten,greenhousenyt,-0.25,0.151,0.753,0.097,RT @greenhousenyt: Michigan officials admit that a majority of Detroit's vote-counting machines broke on Election Day. https://t.co/GFLHaMg
tardiskitten,t,-0.25,0.151,0.753,0.097,RT @greenhousenyt: Michigan officials admit that a majority of Detroit's vote-counting machines broke on Election Day. https://t.co/GFLHaMg
jackthecat111,timcarvell,-0.1531,0.143,0.738,0.119,RT @timcarvell: @markoff 4. The actual situation is bad enough w/o needing to hype it up. Better article here: https://t.co/QKF8lsoHJw
jackthecat111,freep,-0.1531,0.143,0.738,0.119,RT @timcarvell: @markoff 4. The actual situation is bad enough w/o needing to hype it up. Better article here: https://t.co/QKF8lsoHJw
pandagabe,CEDADebate,0.7345,0.0,0.754,0.246,"RT @CEDADebate: The election results are in, thank you to everyone who ran and congrats to everyone who was elected!... https://t.co/nh5AFX"
pandagabe,t,0.7345,0.0,0.754,0.246,"RT @CEDADebate: The election results are in, thank you to everyone who ran and congrats to everyone who was elected!... https://t.co/nh5AFX"
TINTofPBC,NateSilver538,0.5584,0.0,0.82,0.18,RT @NateSilver538: I'll put it like this: Clinton would almost certainly be President-elect if the election had been held on Oct. 27 (day b
CynicalParadox,KellyannePolls,-0.3182,0.099,0.901,0.0,"RT @KellyannePolls: Now match the 1.2 billion dollars with the ""winning"" campaign messages and the post-election spin as to why they lost."
KattNasty,CoryBooker,0.4588,0.0,0.81,0.19,RT @CoryBooker: I join urgent call for Congress to form bipartisan select committee to investigate Russian interference in election: https:
sanjerina,WalshFreedom,0.7992,0.058,0.677,0.266,"RT @WalshFreedom: There's evidence Russia messed around with our election, but cuz our guy won, people on my side are ok with that?That's"
maryjane0250,Moo57556470,-0.5994,0.151,0.849,0.0,"RT @Moo57556470:  Isn't the #RussianHacking to compromise our election an act of cyber war? Is PEOTUS, Congress &amp; Comey's FBI on our si"
linda_wed1,PolticsNewz,-0.4404,0.146,0.854,0.0,RT @PolticsNewz: Sen. Mitch McConnell needs to answer for his role covering up Russian election attacks https://t.co/p083ik11O3 https://t.c
linda_wed1,route,-0.4404,0.146,0.854,0.0,RT @PolticsNewz: Sen. Mitch McConnell needs to answer for his role covering up Russian election attacks https://t.co/p083ik11O3 https://t.c
D_TownFan,ed_hooley,-0.5754,0.157,0.843,0.0,RT @ed_hooley: JOHN MCCAIN: RUSSIA HACKED OUR ELECTION! MCCAIN IS BOUGHT &amp; SOLD BY GEORGE SORO'S #McCain #JohnMcCain #Arizona #teaparty htt
Mannyratback1,wikileaks,0.0,0.0,1.0,0.0,RT @wikileaks: Our favourite #FakeNews of the 2016 election https://t.co/Onm82JGBbn
Mannyratback1,twitter,0.0,0.0,1.0,0.0,RT @wikileaks: Our favourite #FakeNews of the 2016 election https://t.co/Onm82JGBbn
Iangroome,TimRunsHisMouth,0.0,0.0,1.0,0.0,RT @TimRunsHisMouth: Here's a list of all the Foreign Governments who interfered in the last Presidential election. I mean... donated to th
CaridadDorado,nytimes,0.4767,0.0,0.853,0.147,RT @nytimes: Breaking News: President Obama orders intelligence agencies to report on Russian efforts to influence 2016 election https://t.
CaridadDorado,,0.4767,0.0,0.853,0.147,RT @nytimes: Breaking News: President Obama orders intelligence agencies to report on Russian efforts to influence 2016 election https://t.
SabraJewell,mhmck,-0.3818,0.12,0.88,0.0,"@mhmck @M5B1tch Obama declare State of emergency, stays in office till 2018 midterms, New GOP candidate, redo the National Election"
Hasfot7,ABC,0.0,0.0,1.0,0.0,RT @ABC: NEW: Bipartisan group of senators release joint statement calling for examination of reports of Russian interference in 2016 US el
HH75876116,KellyannePolls,0.0,0.0,1.0,0.0,"RT @KellyannePolls: FBI: ""fuzzy"", ""ambiguous"" connection. Did Putin's Russia really try and get Trump elected? CIA veterans urge caution ht"
BigTimeCarly,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
piyamoda,sygebowyf,0.0,0.0,1.0,0.0,RT @sygebowyf: WASHINGTON  An extraordinary breach has emerged between President-elect Donald  https://t.co/0Fhtmj0P7f
piyamoda,nytimes,0.0,0.0,1.0,0.0,RT @sygebowyf: WASHINGTON  An extraordinary breach has emerged between President-elect Donald  https://t.co/0Fhtmj0P7f
jbtcarolina,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
MyNameIsSergius,mtracey,-0.2263,0.102,0.837,0.06,@mtracey With no proof of hacking during the election they want a new vote eh? Here's my answer to them - https://t.co/sIAr4UCmqD
MyNameIsSergius,twitter,-0.2263,0.102,0.837,0.06,@mtracey With no proof of hacking during the election they want a new vote eh? Here's my answer to them - https://t.co/sIAr4UCmqD
SissyWarf,WFMY,0.0,0.0,1.0,0.0,RT @WFMY: Trump dismisses allegations of Russian election tampering https://t.co/BrqMbgYJq7 https://t.co/goZW8NiGD0
SissyWarf,wfmynews2,0.0,0.0,1.0,0.0,RT @WFMY: Trump dismisses allegations of Russian election tampering https://t.co/BrqMbgYJq7 https://t.co/goZW8NiGD0
ShitCanUrCoach,realDonaldTrump,-0.7003,0.254,0.746,0.0,"@realDonaldTrump the dems would have chose some Berkeley dumbass theoretitian, with no experience... that worked for obama, election showed"
DonnyDidntDoIt,medium,-0.3736,0.146,0.854,0.0,"Was this the objective? #republicans stop #merrickgarland, #donaldtrump deal w/ #russia &amp; #putin hacks election? https://t.co/JZntohKemP"
terebifunhouse,timcarvell,-0.1531,0.143,0.738,0.119,RT @timcarvell: @markoff 4. The actual situation is bad enough w/o needing to hype it up. Better article here: https://t.co/QKF8lsoHJw
terebifunhouse,freep,-0.1531,0.143,0.738,0.119,RT @timcarvell: @markoff 4. The actual situation is bad enough w/o needing to hype it up. Better article here: https://t.co/QKF8lsoHJw
vela_mary,JuddLegum,0.4404,0.0,0.847,0.153,RT @JuddLegum: Updated list of GOP members supporting investigation into Russian interference w/prez electionSen GrahamSen McCainSen Co
Discoexpress,wikileaks,0.0,0.0,1.0,0.0,RT @wikileaks: New SMS records show Assange was framed by police in 1st sex case: https://t.co/MqwZAvH0va and in 2nd case: https://t.co/OPC
Discoexpress,justice4assange,0.0,0.0,1.0,0.0,RT @wikileaks: New SMS records show Assange was framed by police in 1st sex case: https://t.co/MqwZAvH0va and in 2nd case: https://t.co/OPC
BelkysSpainUSA,TimRunsHisMouth,0.0,0.0,1.0,0.0,RT @TimRunsHisMouth: Here's a list of all the Foreign Governments who interfered in the last Presidential election. I mean... donated to th
suicide_romance,casatino,-0.1027,0.097,0.903,0.0,RT @casatino: FBI: sends vague letter; actually nothingMSM: *quivers*CIA: confirms Russia interfered w/electionMSM: \_()_/https://
mymeraki1,ArvindKejriwal,-0.296,0.087,0.913,0.0,@ArvindKejriwal all time u putting aligation on pm that he stop me working in Delhi and I think u'll be say same lines after Punjab election
scudderplus,johnmccain2016,-0.5106,0.142,0.858,0.0,@johnmccain2016 your outrage over the Russian hack would have carried more weight had you shown a spine against Trump during the election.
ActorAaronBooth,markoff,-0.25,0.136,0.777,0.087,RT @markoff: Michigan officials admit majority of Detroit vote counting machines broke on Election Day - Palmer Report https://t.co/Gx9btLq
ActorAaronBooth,t,-0.25,0.136,0.777,0.087,RT @markoff: Michigan officials admit majority of Detroit vote counting machines broke on Election Day - Palmer Report https://t.co/Gx9btLq
ItsaVapeThang,HEROESvape,0.296,0.0,0.864,0.136,RT @HEROESvape: Im busy creating enough white clouds to signal the election of a new pope.
marcirish,NateSilver538,0.5584,0.0,0.82,0.18,RT @NateSilver538: I'll put it like this: Clinton would almost certainly be President-elect if the election had been held on Oct. 27 (day b
Badgersbane,birbigs,-0.0387,0.05,0.95,0.0,RT @birbigs: There's evidence that Russia swayed the U.S. election &amp; we're supposed to NOT talk about it constantly? I'm sorry but that's u
laun,JuddLegum,0.4404,0.0,0.838,0.162,RT @JuddLegum: UPDATE: GOP members supporting investigation of Russian interference in electionSen GrahamSen McCainSen LankfordSen Cor
aaron_rva,YouTube,0.0,0.0,1.0,0.0,I added a video to a @YouTube playlist https://t.co/RcFJO6qsx0 MSNBC Election Night 2016 Full Coverage 2/3 (No Commercials)
aaron_rva,youtube,0.0,0.0,1.0,0.0,I added a video to a @YouTube playlist https://t.co/RcFJO6qsx0 MSNBC Election Night 2016 Full Coverage 2/3 (No Commercials)
IamSilverPeace,MadJewessWoman,0.0,0.0,1.0,0.0,"RT @MadJewessWoman: .@realDonaldTrumpINVESTIGATE @SenJohnMcCain 4 overthrowing #Ukraine govt, influencing election in #KIEV, 2013-14http"
DawnQuesarrah,bonita_jay1,0.0772,0.0,0.936,0.064,RT @bonita_jay1: @kirangkaur @aliasvaughn There is a petition to indicate that this is precisely what US citizens want to happen: https://t
DawnQuesarrah,,0.0772,0.0,0.936,0.064,RT @bonita_jay1: @kirangkaur @aliasvaughn There is a petition to indicate that this is precisely what US citizens want to happen: https://t
StrellcZeneli,youtube,-0.2023,0.153,0.847,0.0,Islamic scholar Imran Hosein: Trump's election may have postponed nuclea... https://t.co/gktcxfhHVe
SamanthaMakoski,twitter,-0.3182,0.247,0.753,0.0,This election is making for odd bedfellows. https://t.co/3vX9QPVmru
annetteKwest,TuckerCarlson,0.5859,0.0,0.798,0.202,"RT @TuckerCarlson: President-elect @realDonaldTrump to protester: The election ended 3 weeks ago, darling TCT #Tucker @FoxNews https://t"
annetteKwest,,0.5859,0.0,0.798,0.202,"RT @TuckerCarlson: President-elect @realDonaldTrump to protester: The election ended 3 weeks ago, darling TCT #Tucker @FoxNews https://t"
IBDeb2,latimes,0.0,0.0,1.0,0.0,This shouldn't be a partisan issue. It is an American issue. Disturbing/telling thatTrump doesn't see it that way    https://t.co/Uz5lciHGBU
jmarong69,Engelkes,0.7003,0.084,0.649,0.267,RT @Engelkes: No sitting Supreme Court in #Gambia. Current chief justice is Nigerian. 4 other judges to be hired https://t.co/DonEFu2Orz vi
jmarong69,reuters,0.7003,0.084,0.649,0.267,RT @Engelkes: No sitting Supreme Court in #Gambia. Current chief justice is Nigerian. 4 other judges to be hired https://t.co/DonEFu2Orz vi
VickyDurieux,activist360,-0.5719,0.199,0.732,0.07,RT @activist360: Trump trashes CIA: Tries to convince his dirt dumb bigot base that Russia did not hack election to get him elected https:/
VickyDurieux,,-0.5719,0.199,0.732,0.07,RT @activist360: Trump trashes CIA: Tries to convince his dirt dumb bigot base that Russia did not hack election to get him elected https:/
LiMystery,realDonaldTrump,0.5719,0.0,0.837,0.163,"If #RussiaHacking results in a new election and @realDonaldTrump wins AGAIN, facts haven't changed,so why not call for ANOTHER new election?"
jackthecat111,timcarvell,-0.34,0.107,0.893,0.0,RT @timcarvell: @markoff The election official goes on to say that not all precincts would necessarily be excluded for this reason.
lorax58,MrJamesonNeat,-0.6597,0.231,0.769,0.0,RT @MrJamesonNeat: In states where election fraud seems rampant lawsuits should be filed to disqualify Trump electors @tribelaw @lessig htt
michaels_leigh,iveygirl08,0.0,0.0,1.0,0.0,RT @iveygirl08: Latest Election Results: Congressman Calls On Elec... https://t.co/ogI6BIHWxp
michaels_leigh,topbuzzapp,0.0,0.0,1.0,0.0,RT @iveygirl08: Latest Election Results: Congressman Calls On Elec... https://t.co/ogI6BIHWxp
