User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
clw4packers,nypost,0.0772,0.111,0.766,0.123,RT @nypost: Hillary Clinton and her supporters spent twice as much as Donald Trump on her losing presidential campaign https://t.co/kPyf4Ns
clw4packers,t,0.0772,0.111,0.766,0.123,RT @nypost: Hillary Clinton and her supporters spent twice as much as Donald Trump on her losing presidential campaign https://t.co/kPyf4Ns
PaschalII,emptywheel,-0.296,0.167,0.833,0.0,"@emptywheel For no reason, today I remembered this piece from primary season  https://t.co/beW9wSxjHG"
PaschalII,pajiba,-0.296,0.167,0.833,0.0,"@emptywheel For no reason, today I remembered this piece from primary season  https://t.co/beW9wSxjHG"
ntvnyr173,naniof_two,0.0,0.0,1.0,0.0,RT @naniof_two: @_edwardmondini_ @ntvnyr173 How about someone start with SOS term + find $6 BILLION Hillary lost/donated to #ClintonFoundat
babysgramma,StevenReyCristo,-0.3425,0.217,0.658,0.124,@StevenReyCristo @Nori_NYCThere is nothing childish about bashing Hillary. She's a liar and a traitor
thereallcherico,DanielleMuscato,0.7184,0.0,0.778,0.222,"RT @DanielleMuscato: ""If Hillary Clinton won the election &amp; CIA report came out of foreign tampering, I'm sure @GOP'd be having exact same"
VozdeRaquel,DanielleMuscato,0.7184,0.0,0.778,0.222,"RT @DanielleMuscato: ""If Hillary Clinton won the election &amp; CIA report came out of foreign tampering, I'm sure @GOP'd be having exact same"
erinpastore,ericgarland,0.6369,0.0,0.826,0.174,"RT @ericgarland: Hillary, for her part, gives a brief and all-too-calm speech and goes hiking. Probably the best move on the board."
Fern0947,reckless_mind,-0.3182,0.095,0.905,0.0,"@reckless_mind @TIME Move to California and bring Hillary with you, then go for walks on trails with her, apparently Secret Service is awol."
Kimmerjo64,StevePieczenik,-0.608,0.296,0.529,0.175,RT @StevePieczenik: luv #podestaspizza reference HELL o #America knows the scoop #Hillary have some dignity LEAVE #pizzagate https://t.co/w
Kimmerjo64,t,-0.608,0.296,0.529,0.175,RT @StevePieczenik: luv #podestaspizza reference HELL o #America knows the scoop #Hillary have some dignity LEAVE #pizzagate https://t.co/w
gpnavonod,GodandtheBear,-0.7044,0.272,0.728,0.0,RT @GodandtheBear: What about we don't want Hillary don't you understand? Try all you want you can't make me feel shame for her loss ever.
JIanoale,matthew1nelson1,-0.4019,0.249,0.642,0.109,"@matthew1nelson1 Trump used you. No jobs, no wall, &amp; no jailing Hillary.  He told supporters recently I don't need your votes anymore."
brownlegal,benschwartzy,-0.5177,0.218,0.66,0.122,"RT @benschwartzy: It only took one FBI agent to ruin Nixon (Felt) and one to ruin Hillary (Comey). So, I'm very happy to see Trump making a"
Hay09317403Paul,_News_Trump,-0.6221,0.281,0.719,0.0,RT @_News_Trump: Forget Russia! Reince Priebus Just Pointed Out Why Hillary Really Lost! https://t.co/n8Igft8KNF https://t.co/W2ygPJAJbI
Hay09317403Paul,usapoliticstoday,-0.6221,0.281,0.719,0.0,RT @_News_Trump: Forget Russia! Reince Priebus Just Pointed Out Why Hillary Really Lost! https://t.co/n8Igft8KNF https://t.co/W2ygPJAJbI
c38372346,CarolineWalkerB,-0.4472,0.247,0.629,0.124,"RT @CarolineWalkerB: Hillary Whines About Fake News, So Rush Runs Special 90-Second Montage Just for Her https://t.co/0wgCVLKSQA https://t."
c38372346,conservativefighters,-0.4472,0.247,0.629,0.124,"RT @CarolineWalkerB: Hillary Whines About Fake News, So Rush Runs Special 90-Second Montage Just for Her https://t.co/0wgCVLKSQA https://t."
TCANewsFeed,twitter,-0.6486,0.261,0.739,0.0,RT Roger Stone: Florida #NeverTrump loser Ray Valdes = Crooked Hillary Clinton. He must be stopped. https://t.co/O5mkAkf9fM #Trump2016
lidia_lidiadim,TCB_AK,0.2942,0.0,0.905,0.095,RT @TCB_AK: On election night #Trump offered to buy Hillary's $7 million dollars worth of fireworks for 5 cents on the dollar! #Flashbac
JerseyBoy323,ANOMALY1,0.5719,0.0,0.791,0.209,@ANOMALY1 @chuck270 @KellyannePolls  Hillary surrogate Chris Matthews is brainless-just still tearing @realDonaldTrump-he won #msnbc idiots.
scandallk,ScottyLiterati,-0.296,0.091,0.909,0.0,RT @ScottyLiterati: Hillary dropped this exact same info about Russia in front of 66 million viewers in October. But I guess no one listene
Yankees66y,bfraser747,0.0,0.0,1.0,0.0,"RT @bfraser747: ""It was PresidentObama, along with Hillary Clinton, that came up with the 'Russian reset button"" ~ @AllenWest#JudgeJeani"
hartfordwolf,Ian56789,-0.4588,0.13,0.87,0.0,RT @Ian56789: Remember when Russian Hackers forced Hillary to wipe her server after being served with a Congressional Sub Poena to preserve
Patrici01435181,gerfingerpoken,0.0,0.0,1.0,0.0,RT @gerfingerpoken: Enabler Hillarys Actions Speak Louder Than Trumps Words - Flopping Aces - https://t.co/zGKDjKzaBM-  https://t.co/Sl1
Patrici01435181,t,0.0,0.0,1.0,0.0,RT @gerfingerpoken: Enabler Hillarys Actions Speak Louder Than Trumps Words - Flopping Aces - https://t.co/zGKDjKzaBM-  https://t.co/Sl1
SusanSt08942260,vivelafra,-0.4019,0.241,0.623,0.136,RT @vivelafra: MEET THE AMATEUR: @ChuckTodd's buffoonish loyalty to #Hillary is beyond embarrassing &amp; destroys the credibility of @MeetTheP
VonnieR57,ScottyLiterati,-0.296,0.091,0.909,0.0,RT @ScottyLiterati: Hillary dropped this exact same info about Russia in front of 66 million viewers in October. But I guess no one listene
WSCP2,thedailybeast,-0.743,0.296,0.704,0.0,FLASHBACK: Hillarys State Dept Refused to Brand Boko Haram as Terrorists https://t.co/jPCfobm50I #StopHillary #tcot #tlot #TeaParty #PJNet
mswindy12,DanielleMuscato,0.7184,0.0,0.778,0.222,"RT @DanielleMuscato: ""If Hillary Clinton won the election &amp; CIA report came out of foreign tampering, I'm sure @GOP'd be having exact same"
jakezemp,ericgarland,-0.0516,0.101,0.806,0.093,"RT @ericgarland: And now, the target for electoral mischief is enormous. Hillary is the most known quantity in America, with huge backstory."
gunsrus7,CDCollector23,0.4549,0.0,0.825,0.175,"@CDCollector23 Hillary had way more foreign support than Trump did. Soros, Saudi, Qatar, and others."
Paolalopez1971,RogerJStoneJr,-0.6486,0.29,0.71,0.0,RT @RogerJStoneJr: Florida #NeverTrump loser Ray Valdes = Crooked Hillary Clinton. He must be stopped. https://t.co/8Bnu81beCn
Paolalopez1971,twitter,-0.6486,0.29,0.71,0.0,RT @RogerJStoneJr: Florida #NeverTrump loser Ray Valdes = Crooked Hillary Clinton. He must be stopped. https://t.co/8Bnu81beCn
lisajeannemill1,EvelynWhiteGOP,-0.6166,0.237,0.763,0.0,"RT @EvelynWhiteGOP: WATCH  Hillary Calls For CENSORING Conservatives, Her Plan Is SICK https://t.co/5LMuaUi7Sw https://t.co/yrAQudJEOk"
lisajeannemill1,angrypatriotmovement,-0.6166,0.237,0.763,0.0,"RT @EvelynWhiteGOP: WATCH  Hillary Calls For CENSORING Conservatives, Her Plan Is SICK https://t.co/5LMuaUi7Sw https://t.co/yrAQudJEOk"
bikerbd,AndrewWMullins,-0.466,0.138,0.862,0.0,"RT @AndrewWMullins: Wait, whatt?? The Clinton campaign directly tried to get @morningmika pulled from her show for criticizing Hillary? htt"
jakezemp,ericgarland,0.8761,0.0,0.654,0.346,"RT @ericgarland: I'm from Vermont and have known Bernie forever, so I'm very surprised, but everyone kinda likes it. Hillary wins anyhow."
JeffersonObama,6igyak,-0.743,0.27,0.73,0.0,RT @6igyak: Hillary's body double was jealous so it faked being sick just to get back at her.  #BoltonFalseFlagExcuses
allyssar1,twitter,-0.6478,0.218,0.782,0.0,so wasting money on the recount would change the outcome how exactly...now Hillary lost twice and you justify it ho https://t.co/oIXlxFHihM
danieltobin,redsteeze,0.0,0.0,1.0,0.0,RT @redsteeze: Russia wanted Trump. You know who else wanted Trump? Hillary &amp; our media. All three got what they wanted.
wolfy1169,GaetaSusan,-0.8594,0.399,0.498,0.103,"RT @GaetaSusan: Dems, McCain &amp; Graham STOP spreading FAKE NEWS! Every Country hacked Hillary's Private Server! Blame Russia?? What about bl"
Carlene_Meyers,ed_hooley,0.3818,0.0,0.86,0.14,RT @ed_hooley: FLASHBACK VIDEO : Obama Busted on HOT MIC Making Secret Promises Russia https://t.co/thZymgbdUS#maga #obama #hillary #imwit
Carlene_Meyers,truthfeed,0.3818,0.0,0.86,0.14,RT @ed_hooley: FLASHBACK VIDEO : Obama Busted on HOT MIC Making Secret Promises Russia https://t.co/thZymgbdUS#maga #obama #hillary #imwit
rockshout,KailiJoy,-0.6331,0.283,0.609,0.108,RT @KailiJoy: Hillary Clinton's under no obligation to save us. She tried. And we screamed EMAILS!!!!!! and complained that she's just not
RejectIdolatry,JackPosobiec,-0.7184,0.231,0.769,0.0,"RT @JackPosobiec: Russia didn't cause Hillary to lose the entire Rust Belt and every swing state, her party's failed policies of socialist"
rabiasquared,Craigipedia,-0.6369,0.208,0.792,0.0,"RT @Craigipedia: Remember all the geniuses who voted against Hillary because they hated ""the Clinton Dynasty""? https://t.co/rwJ4K9dlmO"
rabiasquared,twitter,-0.6369,0.208,0.792,0.0,"RT @Craigipedia: Remember all the geniuses who voted against Hillary because they hated ""the Clinton Dynasty""? https://t.co/rwJ4K9dlmO"
ProgressiveJill,USDefenseWatch,-0.4588,0.267,0.733,0.0,"RT @USDefenseWatch: Hillarys High Drag, Low Speed Campaign Cost a Whopping $1.2Billion https://t.co/Eo8Zi1PqoY https://t.co/J6wjcGfchx"
ProgressiveJill,usdefensewatch,-0.4588,0.267,0.733,0.0,"RT @USDefenseWatch: Hillarys High Drag, Low Speed Campaign Cost a Whopping $1.2Billion https://t.co/Eo8Zi1PqoY https://t.co/J6wjcGfchx"
stickyfacts,mobile,-0.2263,0.213,0.787,0.0,Hillary pleads to dismiss lawsuit against her https://t.co/9ciL3nu3bc
hartzfeld_rick,MissLizzyNJ,0.2732,0.0,0.896,0.104,"RT @MissLizzyNJ: Hillary Clinton, who accepted millions from Saudi Arabia &amp; Qatar, is suddenly concerned about foreign governments influenc"
Luminami_,realDonaldTrump,-0.7096,0.286,0.656,0.058,@realDonaldTrump Offense is defense. Being offense towards criminal Hillary which still needs her investigation now that they all need to go
d_a_keldsen,SheWhoVotes,-0.7096,0.211,0.789,0.0,"RT @SheWhoVotes: If Hillary was complicit in Russian treason the way Donald is, I'd rightly turn on her. This should be unacceptable to *al"
beckys1girl,MMFlint,-0.6966,0.2,0.8,0.0,RT @MMFlint: Have you heard a ONE Dem leader scream about this? Imagine if Cuba hacked in to throw the election to Hillary? What would Repu
Millenniumistic,brashsculptor1,-0.3318,0.183,0.817,0.0,"RT @brashsculptor1: Seriously, give ONE valid reason Hillary is not now our legal, duly elected PRESIDENT!Welcome, #PresidentClinton "
VonnieR57,DisavowTrump16,0.0,0.0,1.0,0.0,RT @DisavowTrump16: U.S. Concludes that Russia was involved in our election! RETWEET to to tell the Electoral College to vote for Hillary!
TheHardMan21,TheBaxterBean,-0.3182,0.113,0.887,0.0,"RT @TheBaxterBean: REMINDER: Hillary Clinton lost Michigan by only 10,704 votes. Detroit has 513,000 registered voters &amp; turnout declined ("
wolverines_dad,DailyCaller,-0.5267,0.268,0.614,0.118,RT @DailyCaller: Some Hillary Clinton Donors Infuriated They Didnt Make The Cut For Thank-You Party https://t.co/P7eNNGThpl https://t.co/7
wolverines_dad,dailycaller,-0.5267,0.268,0.614,0.118,RT @DailyCaller: Some Hillary Clinton Donors Infuriated They Didnt Make The Cut For Thank-You Party https://t.co/P7eNNGThpl https://t.co/7
PaxRoHannah,ScottyLiterati,-0.296,0.091,0.909,0.0,RT @ScottyLiterati: Hillary dropped this exact same info about Russia in front of 66 million viewers in October. But I guess no one listene
jakezemp,ericgarland,0.0,0.0,1.0,0.0,"RT @ericgarland: The Democrats all debate who's going to get out of Hillary's way first, except for VERMONT'S OWN BERNIE SANDERS, who...get"
tparkatheist,directory,0.0,0.0,1.0,0.0,The Atheist in the Trailer Park  : Episode 130: Hillary and the Working Class https://t.co/jAyyOIVicX
inallfandoms,hillyanne23,0.0,0.0,1.0,0.0,RT @hillyanne23: I remember before high school everyone called me Hillary and now all I ever hear is Hill/Hilly and it makes me soooooo hap
whatnext20,DanielleMuscato,0.7184,0.0,0.778,0.222,"RT @DanielleMuscato: ""If Hillary Clinton won the election &amp; CIA report came out of foreign tampering, I'm sure @GOP'd be having exact same"
nanrod98,FoxNews,0.0,0.0,1.0,0.0,"RT @FoxNews: .@JudgeJeanine: ""We have a new Pres.-elect. His name is Donald J. Trump. So move over, Barack. Move over, Hillary."" https://t."
nanrod98,,0.0,0.0,1.0,0.0,"RT @FoxNews: .@JudgeJeanine: ""We have a new Pres.-elect. His name is Donald J. Trump. So move over, Barack. Move over, Hillary."" https://t."
exponuntmalum,MissLizzyNJ,0.2732,0.0,0.896,0.104,"RT @MissLizzyNJ: Hillary Clinton, who accepted millions from Saudi Arabia &amp; Qatar, is suddenly concerned about foreign governments influenc"
healthygirl90,ericgarland,0.6369,0.0,0.826,0.174,"RT @ericgarland: Hillary, for her part, gives a brief and all-too-calm speech and goes hiking. Probably the best move on the board."
lozanosunwest,CarmineZozzora,0.0516,0.097,0.798,0.105,"RT @CarmineZozzora: Nothing like the CIA saving all their Russia ""secret assessment"" stuff up until after ""shoo-in"" Hillary lost the electi"
besthealthever,kr3at,0.0,0.0,1.0,0.0,Michigan Recount: Over 1/2 of Hillary Clintons Detroit Vote Faces Disqualification https://t.co/77DQD6rUhf via @kr3at
besthealthever,alexanderhiggins,0.0,0.0,1.0,0.0,Michigan Recount: Over 1/2 of Hillary Clintons Detroit Vote Faces Disqualification https://t.co/77DQD6rUhf via @kr3at
ConnieBee16,hrtablaze,-0.872,0.405,0.595,0.0,@hrtablaze Hillary lost because she was woefully unsuited for the job. No other reason you pathetic grasping at straws simpletons.
Paolalopez1971,LindaSuhler,0.4404,0.0,0.847,0.153,RT @LindaSuhler: A good time to mention Hillary Clinton's REAL link to Russia...#RussianHackingShe transferred our uranium to Putin...FOR
Millenniumistic,brashsculptor1,-0.5797,0.277,0.61,0.113,RT @brashsculptor1: Nearly 3 million more votes &amp; no cheating. #Hillary is my president.I will accept NOTHING less!#PresidentClinton
Patrici01435181,gerfingerpoken,-0.34,0.179,0.714,0.107,RT @gerfingerpoken: (IBD) If Hillary Signed Form OF-109 she committed Felony - @IBDeditorials #PJNET 999 https://t.co/127jNePgDg https://t.
Patrici01435181,investors,-0.34,0.179,0.714,0.107,RT @gerfingerpoken: (IBD) If Hillary Signed Form OF-109 she committed Felony - @IBDeditorials #PJNET 999 https://t.co/127jNePgDg https://t.
Luminami_,realDonaldTrump,-0.1531,0.117,0.789,0.094,"@realDonaldTrump Attack Obama like you did to Hillary Clinton during your speeches. If you say it, it happens. He is moving against you."
Griot_Prince,ericgarland,0.6369,0.0,0.826,0.174,"RT @ericgarland: Hillary, for her part, gives a brief and all-too-calm speech and goes hiking. Probably the best move on the board."
EnigmaNetxx,KatieWagnerFox,0.3818,0.134,0.634,0.231,"RT @KatieWagnerFox: Seth Rich narc'd DNC emails because of cheating in Primary to promote Hillary. #SethRich, ultimate Bernie Bro, RIP. #"
ManyaZuba,Craigipedia,-0.6369,0.208,0.792,0.0,"RT @Craigipedia: Remember all the geniuses who voted against Hillary because they hated ""the Clinton Dynasty""? https://t.co/rwJ4K9dlmO"
ManyaZuba,twitter,-0.6369,0.208,0.792,0.0,"RT @Craigipedia: Remember all the geniuses who voted against Hillary because they hated ""the Clinton Dynasty""? https://t.co/rwJ4K9dlmO"
GlennOstrosky,realDonaldTrump,-0.6166,0.268,0.732,0.0,RT @realDonaldTrump: HILLARY FAILED ALL OVER THE WORLD. #BigLeagueTruth  LIBYASYRIAIRANIRAQASIA PIVOTRUSSIAN RESETBENGHAZI#D
lks62,terrij68,-0.3317,0.106,0.894,0.0,RT @terrij68: @KellyannePolls almost 3 million more Americans voted for Hillary!!! Most do not want him or at this point you either
westontnicoll,Pappiness,0.5859,0.0,0.833,0.167,"RT @Pappiness: Just a subtle reminder that if #RussianHackers helped Hillary win, The GOP Oversight Committee would investigate her for tre"
AMike4761,America_1st_,-0.6901,0.222,0.778,0.0,"RT @America_1st_: .@GovMikeHuckabee: ""It wasn't the Russians that beat them. It was a lack of ideas. It was Hillary being a very poor candi"
mountain_viper,bfraser747,0.0,0.0,1.0,0.0,"RT @bfraser747: ""It was PresidentObama, along with Hillary Clinton, that came up with the 'Russian reset button"" ~ @AllenWest#JudgeJeani"
nanaz1,change,0.0,0.0,1.0,0.0,Electoral College: Make Hillary Clinton President on December 19 - Sign the Petition! https://t.co/ynLdIxTaHV
tparkatheist,trailerparkatheist,0.0,0.0,1.0,0.0,Episode 130: Hillary and the Working Class https://t.co/vwNAz6UtJh
RobieCur,Craigipedia,-0.6369,0.208,0.792,0.0,"RT @Craigipedia: Remember all the geniuses who voted against Hillary because they hated ""the Clinton Dynasty""? https://t.co/rwJ4K9dlmO"
RobieCur,twitter,-0.6369,0.208,0.792,0.0,"RT @Craigipedia: Remember all the geniuses who voted against Hillary because they hated ""the Clinton Dynasty""? https://t.co/rwJ4K9dlmO"
DaFiendR,umpire43,-0.5859,0.137,0.863,0.0,RT @umpire43: Hundreds of thousands of Fraud Hillary votes were foung in Detroit and in Millwaukee and in Philly. Did Russia do that to hel
DanielDastti,FoxNews,-0.6901,0.222,0.778,0.0,"RT @FoxNews: .@GovMikeHuckabee: ""It wasn't the Russians that beat them. It was a lack of ideas. It was Hillary being a very poor candidate."
Cubannator,twitter,0.5859,0.0,0.78,0.22,You mean the Democrats that continue funding tyrants like Castro who beat Cubans daily? Please remind Hillary she l https://t.co/A2cfAkGhi0
jinouyang,FoxNews,-0.6901,0.222,0.778,0.0,"RT @FoxNews: .@GovMikeHuckabee: ""It wasn't the Russians that beat them. It was a lack of ideas. It was Hillary being a very poor candidate."
GigiB84,Harry1T6,0.0772,0.11,0.769,0.121,RT @Harry1T6: Impressive how Russian hackers forced Hillary Clinton to say she would put coal miners out of business and raise their taxes.
TimpoAndante,DisavowTrump16,0.0,0.0,1.0,0.0,RT @DisavowTrump16: U.S. Concludes that Russia was involved in our election! RETWEET to to tell the Electoral College to vote for Hillary!
321Chapp,RogerJStoneJr,-0.6486,0.29,0.71,0.0,RT @RogerJStoneJr: Florida #NeverTrump loser Ray Valdes = Crooked Hillary Clinton. He must be stopped. https://t.co/8Bnu81beCn
321Chapp,twitter,-0.6486,0.29,0.71,0.0,RT @RogerJStoneJr: Florida #NeverTrump loser Ray Valdes = Crooked Hillary Clinton. He must be stopped. https://t.co/8Bnu81beCn
MicheleWeiss69,mitchellvii,0.0,0.0,1.0,0.0,"@mitchellvii @TRUMP_PREZ what I don't understand...is why the focus isn't on what Hillary did, but how we found out."
Patta47cake,kashanacauley,-0.4767,0.205,0.795,0.0,RT @kashanacauley: It's a shame Hillary didn't connect with white Russian working class voters.
zoyeahhhh,kashanacauley,-0.4767,0.205,0.795,0.0,RT @kashanacauley: It's a shame Hillary didn't connect with white Russian working class voters.
PatreciaRogers,ed_hooley,0.3818,0.0,0.86,0.14,RT @ed_hooley: FLASHBACK VIDEO : Obama Busted on HOT MIC Making Secret Promises Russia https://t.co/thZymgbdUS#maga #obama #hillary #imwit
PatreciaRogers,truthfeed,0.3818,0.0,0.86,0.14,RT @ed_hooley: FLASHBACK VIDEO : Obama Busted on HOT MIC Making Secret Promises Russia https://t.co/thZymgbdUS#maga #obama #hillary #imwit
RobertTripp12,Cernovich,0.296,0.083,0.795,0.123,"RT @Cernovich: If Hillary had won we'd have talked about ""rigged elections"" for a day or two and then moved on. What we are seeing today is"
DaVinciVerita,RepStevenSmith,0.0772,0.0,0.939,0.061,RT @RepStevenSmith: Want to hear about what Hillary did in Libya from a real journalist? @wikileaks Julian Assange explains it in 2 minutes
CruzinAhead,SteveDeaceShow,0.0,0.0,1.0,0.0,"RT @SteveDeaceShow: Can only imagine what some ""conservatives"" would say if President Hillary's SOS was a corporate globalist seen toasting"
BitcoinPaul,Freshoutoftissu,0.2716,0.152,0.621,0.227,@Freshoutoftissu @bradmillscan @kazonomics @TheNewBTCGuy @Lunar_Trader no one fucking cares about Hillary.
egopanthers,DonaldsAngel,-0.3182,0.173,0.827,0.0,RT @DonaldsAngel: .@asamjulian .@LindaSuhler .@mitchellvii .@Cernovich .@JackPosobiec Hillary Lost because #ItWasHer@DonaldsAngel https:/
egopanthers,,-0.3182,0.173,0.827,0.0,RT @DonaldsAngel: .@asamjulian .@LindaSuhler .@mitchellvii .@Cernovich .@JackPosobiec Hillary Lost because #ItWasHer@DonaldsAngel https:/
Mark_David2,ThePatriot143,-0.4215,0.318,0.682,0.0,@ThePatriot143  he lies as much as hillary
An0nKn0wledge,twitter,-0.5859,0.16,0.84,0.0,They Told Me I Couldn't Have Aliens Hillary &amp; Election Fraud In Same Tweet It Couldn't Be Done They We're Wrong.. https://t.co/ZOOpjH9KmN
Byrlyne,bfraser747,0.0,0.0,1.0,0.0,"RT @bfraser747: ""It was PresidentObama, along with Hillary Clinton, that came up with the 'Russian reset button"" ~ @AllenWest#JudgeJeani"
boxcoach_dan,baileylewis23,0.0258,0.0,0.95,0.05,@baileylewis23 @stranahan  Assad is  opposed to the pipeline. Investors are the ones trying to oust him. It's why the arabs backed Hillary
