User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
SteveTVNews,twitter,0.0,0.0,1.0,0.0,RT @secstatewa: Here's how WA election returns will be reported tonight &amp; in coming days. https://t.co/BwDLwX4ING
See_My_Vest,fakedansavage,-0.2579,0.165,0.733,0.102,RT @fakedansavage: I'm retweeting a Republican without sarcasm or snark - this election is insane. https://t.co/mvaoZO0elr
See_My_Vest,twitter,-0.2579,0.165,0.733,0.102,RT @fakedansavage: I'm retweeting a Republican without sarcasm or snark - this election is insane. https://t.co/mvaoZO0elr
Zackdjohnson1,Milbank,0.3612,0.06,0.815,0.124,RT @Milbank: They built a cash bar at Trump election night party-- and his supporters are going to pay for it. https://t.co/X18u0HieSN
Zackdjohnson1,twitter,0.3612,0.06,0.815,0.124,RT @Milbank: They built a cash bar at Trump election night party-- and his supporters are going to pay for it. https://t.co/X18u0HieSN
wolfwood207,YouTube,0.0,0.0,1.0,0.0,I added a video to a @YouTube playlist https://t.co/25urjYnm2g The Daily Show - The Final Days of the 2016 Election
wolfwood207,youtube,0.0,0.0,1.0,0.0,I added a video to a @YouTube playlist https://t.co/25urjYnm2g The Daily Show - The Final Days of the 2016 Election
aaronevaughn,ralphDrussoAP,0.0,0.0,1.0,0.0,"RT @ralphDrussoAP: Election Day. Or as sports writers call it, the day the news desk gets pizza for doing what the sports desk does every n"
nafi9918,SputnikInt,0.0,0.0,1.0,0.0,RT @SputnikInt: LIVE UPDATE: @realDonaldTrump currently leads @HillaryClinton as first polls close https://t.co/oTa25kErgX #USElection2016
nafi9918,sputniknews,0.0,0.0,1.0,0.0,RT @SputnikInt: LIVE UPDATE: @realDonaldTrump currently leads @HillaryClinton as first polls close https://t.co/oTa25kErgX #USElection2016
InfoOcheph,digitaltrends,0.3818,0.0,0.809,0.191,Electionland Google Trends map helps voters visualize polling station issues https://t.co/tNLOCfzT7D https://t.co/eY2c5VFy8E
SaltireComic,SaltireComics,-0.5178,0.143,0.857,0.0,RT @SaltireComics: Stressed out by Election Day? Need to know Scotland's got your back?Well we do! Check out our #ElectionDay deal!https:
Ali_leyva12,DanaiGurira,0.783,0.0,0.567,0.433,RT @DanaiGurira: Happy Election Day!Make sure your voice is heard!Vote!#ImWithHer.#TheFutureisFemale https://t.co/s6XK0ZYDzt
Ali_leyva12,twitter,0.783,0.0,0.567,0.433,RT @DanaiGurira: Happy Election Day!Make sure your voice is heard!Vote!#ImWithHer.#TheFutureisFemale https://t.co/s6XK0ZYDzt
CapeMayMeg,billy_penn,0.3412,0.0,0.862,0.138,RT @billy_penn: Some voting machines went down today. @Commish_Schmidt says don't worry about it. https://t.co/YDhwXcpWA6 https://t.co/CVcu
CapeMayMeg,billypenn,0.3412,0.0,0.862,0.138,RT @billy_penn: Some voting machines went down today. @Commish_Schmidt says don't worry about it. https://t.co/YDhwXcpWA6 https://t.co/CVcu
sethjpierce,ConanOBrien,0.8271,0.0,0.7,0.3,RT @ConanOBrien: Congratulations to the winner of the 2016 presidential election.  Youll be receiving the cleaning bill for Americas pant
ardie2pt0,BernieSanders,0.4404,0.0,0.847,0.153,RT @BernieSanders: Today is an election of enormous consequence. I hope everybody gets out to vote. #ElectionDay https://t.co/JYYunxLO2R
ardie2pt0,twitter,0.4404,0.0,0.847,0.153,RT @BernieSanders: Today is an election of enormous consequence. I hope everybody gets out to vote. #ElectionDay https://t.co/JYYunxLO2R
LeighaCrumpler,ParksPics,0.0,0.0,1.0,0.0,RT @ParksPics: BREAKING HILLARY CLINTON NEWS THAT COULD COST HER THE ELECTION https://t.co/tdjwZ6McOc
LeighaCrumpler,twitter,0.0,0.0,1.0,0.0,RT @ParksPics: BREAKING HILLARY CLINTON NEWS THAT COULD COST HER THE ELECTION https://t.co/tdjwZ6McOc
CarpeMors90,JeniSelke1,0.4019,0.0,0.863,0.137,RT @JeniSelke1: @LeTHaLMiGRaiNe @JamesMArcher @SusanSarandon this is more than a single election. We are building a party for the people. #
Herityalia,memeprovider,0.0,0.0,1.0,0.0,RT @memeprovider: got my election sticker https://t.co/EBknYdpVzU
Herityalia,twitter,0.0,0.0,1.0,0.0,RT @memeprovider: got my election sticker https://t.co/EBknYdpVzU
sheacollagen,uniqueprophet,0.0258,0.153,0.691,0.157,"RT @uniqueprophet: OOPS @realDonaldTrump, @trump TRUMP SUPPORTERS, WE HAVE ENDURED TOO MUCH STRESS, EMOTION,EFFORT,DON'T LET LEFT SCUM STEA"
PacifierGaga,HuffingtonPost,0.0,0.0,1.0,0.0,RT @HuffingtonPost: 30 oddly insightful quotes from kids about the election https://t.co/0WwtoflHHU https://t.co/2ghyhcKAOh
PacifierGaga,m,0.0,0.0,1.0,0.0,RT @HuffingtonPost: 30 oddly insightful quotes from kids about the election https://t.co/0WwtoflHHU https://t.co/2ghyhcKAOh
Michael_Rokicki,yankeeclassic46,0.4404,0.0,0.854,0.146,"@yankeeclassic46 I wanted to watch Santos/Vinick election day episode to feel better. But, Leo. That would make it https://t.co/MErJPgCyXR"
Michael_Rokicki,twitter,0.4404,0.0,0.854,0.146,"@yankeeclassic46 I wanted to watch Santos/Vinick election day episode to feel better. But, Leo. That would make it https://t.co/MErJPgCyXR"
TwinParasite,Milbank,0.3612,0.06,0.815,0.124,RT @Milbank: They built a cash bar at Trump election night party-- and his supporters are going to pay for it. https://t.co/X18u0HieSN
TwinParasite,twitter,0.3612,0.06,0.815,0.124,RT @Milbank: They built a cash bar at Trump election night party-- and his supporters are going to pay for it. https://t.co/X18u0HieSN
GrimKarl,LeahR77,0.8061,0.0,0.673,0.327,RT @LeahR77: Exits! Exits! Exits! POLLS   75%: Take Country Back From Rich &amp; Powerful https://t.co/nIBXu9aHl4  #ElectionNight https://t.
GrimKarl,breitbart,0.8061,0.0,0.673,0.327,RT @LeahR77: Exits! Exits! Exits! POLLS   75%: Take Country Back From Rich &amp; Powerful https://t.co/nIBXu9aHl4  #ElectionNight https://t.
stanleydob,twitter,0.6369,0.0,0.826,0.174,#FOXNEWS2016 Me and my pops watching the best election coverage on Fox News after both doing our part voting pro-li https://t.co/XSgV7HdHgo
agent_it,NateSilver538,0.0,0.0,1.0,0.0,RT @NateSilver538: So here's the link to our election night model! Forecast will update as states are CALLED (not on partial returns): http
mayaventura_,twitter,0.0,0.0,1.0,0.0,"just goes to show you, this election isn't Democrats vs. Republicans. it's Those With Common Sense vs. Idiots https://t.co/m0iN450pwO"
FdeFossard,MujatiBrewing,-0.7096,0.396,0.604,0.0,Watching old vlogs by @MujatiBrewing to avoid all this election misery.
TRINITYPRAISE,mike_pence,0.0,0.0,1.0,0.0,"RT @mike_pence: This Election Day, America is standing at the crossroads of history. RT this if you're voting for @realDonaldTrump. Togethe"
outdoortechie,wikileaks,0.0,0.0,1.0,0.0,RT @wikileaks: Assange statement: What are the reasons behind WikiLeaks exposures of the DNC and the Clinton campaign? https://t.co/Q6KEChq
outdoortechie,t,0.0,0.0,1.0,0.0,RT @wikileaks: Assange statement: What are the reasons behind WikiLeaks exposures of the DNC and the Clinton campaign? https://t.co/Q6KEChq
CorianderSleuth,pardonbeggar,0.4404,0.0,0.854,0.146,RT @pardonbeggar: [doing standup]this election is truly neck and neckunfortunately one of the candidates is a giraffe::they take away
1blessedbee,healthandcents,-0.41,0.215,0.671,0.113,"RT @healthandcents: @payao1a1 ABSOLUTE TRUTH. If #Trump does not win this, we will never have free election again. #Globalists will control"
jodybufkin,MlquToast,0.7263,0.0,0.711,0.289,"RT @MlquToast: Election Night at #LimerickJunction Free comedy, drink deals, and the future of America! 10PM #atlcomedy"
DreamStarrCEO,MARLIT0,-0.0772,0.248,0.526,0.226,RT @MARLIT0: This election is an insult to intellect
TheHumpty,davidsirota,0.7351,0.0,0.828,0.172,"RT @davidsirota: I know Im going out on a limb here, but Im just gonna predict that the winner of the 2016 election will be money and cor"
dorriedeakins,DonaldJTrumpJr,0.3164,0.0,0.906,0.094,RT @DonaldJTrumpJr: DRUDGE: ELECTION WILL BE DECIDED BY EVENING VOTERSGET OUT AND VOTE! Find 5 others. This is our chance to take back Am
Cricaholics,itvnews,0.0,0.0,1.0,0.0,RT @itvnews: US Election: Stark difference between how men and women are expected to vote #Election2016 #ElectionNight https://t.co/BfQPcj2
Cricaholics,t,0.0,0.0,1.0,0.0,RT @itvnews: US Election: Stark difference between how men and women are expected to vote #Election2016 #ElectionNight https://t.co/BfQPcj2
janjeffcoat,instagram,0.0,0.0,1.0,0.0,Election Night... she just wants to watch #docmcstuffins &amp; Mommy has to go  for a 2 a.m. https://t.co/BMsWbJARCc
lyndacsmith,Stonewall_77,0.0,0.0,1.0,0.0,RT @Stonewall_77: BREAKING: Comey To Be Firedhttps://t.co/qq9ow5pCVQ#MAGA #TrumpTrain#ElectionDay https://t.co/7yRAvM78ba
lyndacsmith,twitter,0.0,0.0,1.0,0.0,RT @Stonewall_77: BREAKING: Comey To Be Firedhttps://t.co/qq9ow5pCVQ#MAGA #TrumpTrain#ElectionDay https://t.co/7yRAvM78ba
sgunn,ericasmith,0.0,0.0,1.0,0.0,RT @ericasmith: .@travislylesnews and @CatGRog are going to be snapping presidential election results tonight for @virginianpilot. Follow a
irisheyes8701,WDFx2EU8,-0.7284,0.242,0.758,0.0,RT @WDFx2EU8: ELECTION FRAUD: Utah Election In Shambles! Democrats In Vote-By-Mail State Received Multiple Mail-In Ballots! https://t.co/7h
irisheyes8701,t,-0.7284,0.242,0.758,0.0,RT @WDFx2EU8: ELECTION FRAUD: Utah Election In Shambles! Democrats In Vote-By-Mail State Received Multiple Mail-In Ballots! https://t.co/7h
BillWarp9,CNNPolitics,0.5719,0.0,0.802,0.198,"RT @CNNPolitics: BREAKING: Clinton wins traditional midnight vote in Dixville Notch, New Hampshire https://t.co/fVi0JzyFOr #CNNElection htt"
BillWarp9,cnn,0.5719,0.0,0.802,0.198,"RT @CNNPolitics: BREAKING: Clinton wins traditional midnight vote in Dixville Notch, New Hampshire https://t.co/fVi0JzyFOr #CNNElection htt"
LANDoCUH,NPR,0.4019,0.0,0.863,0.137,RT @NPR: Los Angeles authorities say two polling locations are closed due to an active shooter situation. https://t.co/C7Y1uiDgpf
LANDoCUH,npr,0.4019,0.0,0.863,0.137,RT @NPR: Los Angeles authorities say two polling locations are closed due to an active shooter situation. https://t.co/C7Y1uiDgpf
Yad_FPEnergy,fpinvesting,0.1027,0.0,0.915,0.085,"Stocks, Canadian dollar and Mexican peso climb as investors await U.S. election results https://t.co/hD2b2owUo8 via @fpinvesting"
Yad_FPEnergy,business,0.1027,0.0,0.915,0.085,"Stocks, Canadian dollar and Mexican peso climb as investors await U.S. election results https://t.co/hD2b2owUo8 via @fpinvesting"
SAIS_MIEF,JHU_BIPR,0.0,0.0,1.0,0.0,"RT @JHU_BIPR: On #USElection2016, after @Erik_Jones_SAIS's introduction on the US Electoral College, a student panel discusses the effects"
bristyIes,G_Eazy,0.7644,0.0,0.752,0.248,"RT @G_Eazy: PLEASE GO OUT AND VOTE WHATEVER YOU DO, THIS COULD BE THE MOST IMPORTANT ELECTION OF OUR LIVES #imwithher #fuckdonaldtrump"
Darksbane7,SWatercolour,0.3182,0.0,0.881,0.119,RT @SWatercolour: My university is showing the election results at a student bar ending at 5am pray for me
paulwatermusic,jgillie302,0.0,0.0,1.0,0.0,RT @jgillie302: This election has been the EPITOME of House of Cards.#ElectionDay
StephenPoore804,YahooSports,0.0,0.0,1.0,0.0,RT @YahooSports: Ric Flair voted for exactly who you'd think Ric Flair would vote for: Ric Flair. https://t.co/2GceP31bit https://t.co/wI6G
StephenPoore804,sports,0.0,0.0,1.0,0.0,RT @YahooSports: Ric Flair voted for exactly who you'd think Ric Flair would vote for: Ric Flair. https://t.co/2GceP31bit https://t.co/wI6G
jimmybelshe,DRUDGE_REPORT,0.0258,0.146,0.701,0.153,RT @DRUDGE_REPORT: VIDEO: CNN Reporter Shocked Female Voter Not Excited for Hillary... https://t.co/aZtk3j2TsN
jimmybelshe,businessinsider,0.0258,0.146,0.701,0.153,RT @DRUDGE_REPORT: VIDEO: CNN Reporter Shocked Female Voter Not Excited for Hillary... https://t.co/aZtk3j2TsN
bear_oyo,ProfessorF,0.8225,0.0,0.703,0.297,"RT @ProfessorF: Wow another example of Hillary's ""superior"" ground game. That's brilliant. Having election officials tell people who to vot"
SMLongmate,BuzzfeedNews,0.6948,0.0,0.771,0.229,@BuzzfeedNews I am so happy you are reporting on the election  You guys are making this day bearable 
asahi_azumane,AC360,0.743,0.105,0.576,0.319,"RT @AC360: .@ananavarro: ""It would be sweet, sweet justice if tonight it was the Latino vote that defeated Donald Trump"" https://t.co/ZTdYJ"
asahi_azumane,t,0.743,0.105,0.576,0.319,"RT @AC360: .@ananavarro: ""It would be sweet, sweet justice if tonight it was the Latino vote that defeated Donald Trump"" https://t.co/ZTdYJ"
zaraki921,wikileaks,0.0,0.0,1.0,0.0,RT @wikileaks: Assange statement: What are the reasons behind WikiLeaks exposures of the DNC and the Clinton campaign? https://t.co/Q6KEChq
zaraki921,t,0.0,0.0,1.0,0.0,RT @wikileaks: Assange statement: What are the reasons behind WikiLeaks exposures of the DNC and the Clinton campaign? https://t.co/Q6KEChq
_LookDontTouch,blackvoices,0.5719,0.0,0.791,0.209,RT @blackvoices: Twitter turned election day into #ObamaDay to celebrate the first family https://t.co/vwUSM6Twom https://t.co/KpmapCx1pk
_LookDontTouch,huffingtonpost,0.5719,0.0,0.791,0.209,RT @blackvoices: Twitter turned election day into #ObamaDay to celebrate the first family https://t.co/vwUSM6Twom https://t.co/KpmapCx1pk
okayykaylaaa,StephenKing,-0.34,0.103,0.897,0.0,"RT @StephenKing: The ugliest election in living memory is almost over, but the polls are still open. VOTE, PEOPLE. Do your job."
CELEBUZZ,celebuzz,0.0,0.0,1.0,0.0,All of these celebrities voted. (Have you?) See a gallery of their voting selfies: https://t.co/ylspzRVx9c https://t.co/nvrkkiywcv
BestFrenz,cernovichsdog,0.0,0.0,1.0,0.0,RT @cernovichsdog: If I self identify as a human on Election Day - can I vote for Donald J. Trump? #MAGA3X https://t.co/tI8GFaKpxb
BestFrenz,twitter,0.0,0.0,1.0,0.0,RT @cernovichsdog: If I self identify as a human on Election Day - can I vote for Donald J. Trump? #MAGA3X https://t.co/tI8GFaKpxb
Sixkiller1835,JamesOKeefeIII,0.7027,0.0,0.779,0.221,"RT @JamesOKeefeIII: WOW! Caught more #VoterFraud in N Philly. Election workers caught BREAKING THE LAW. #VeritasIsEverywhere Stay tuned, co"
twlldun,whoislukecusick,0.0,0.0,1.0,0.0,@whoislukecusick @youngvulgarian I sneakily unretweeted days ago to prepare for election night.
mushoe01,electionprojection,0.0,0.0,1.0,0.0,2016 Presidential election projections https://t.co/XsDzlPJXNu
Professor3535,TamEdwards6abc,0.4939,0.0,0.862,0.138,"RT @TamEdwards6abc: Women are flocking to Susan B Anthony's NY State gravesite, leaving their ""I Voted"" stickers on headstone, in honor of"
tennisballbondi,businessinsider,0.5719,0.0,0.821,0.179,RT @businessinsider: WORLD'S BIGGEST HEDGE FUND: Stock markets around the world will tank if Trump wins https://t.co/E3uNuK6fMw https://t.c
tennisballbondi,businessinsider,0.5719,0.0,0.821,0.179,RT @businessinsider: WORLD'S BIGGEST HEDGE FUND: Stock markets around the world will tank if Trump wins https://t.co/E3uNuK6fMw https://t.c
cbooooob,SenSanders,0.6705,0.0,0.744,0.256,RT @SenSanders: Election Day should be a national holiday so that everyone has the time and opportunity to vote.
nemchocke,KellyScaletta,0.4019,0.0,0.856,0.144,"RT @KellyScaletta: ""Active shooter situation"" is NOT something we should see on election day. It's beyond despicable."
superjaberwocky,eidietrich,0.0,0.0,1.0,0.0,RT @eidietrich: Hot take from @TheOnion on Montana's role in the presidential contest. HT @CarterTroy https://t.co/r6qISw9lYx
superjaberwocky,theonion,0.0,0.0,1.0,0.0,RT @eidietrich: Hot take from @TheOnion on Montana's role in the presidential contest. HT @CarterTroy https://t.co/r6qISw9lYx
FM1888,Bro_Pair,0.0258,0.0,0.936,0.064,@Bro_Pair  I think my ceaseless tweeting about the election to my 140 porn-bot followers has prevented a Trump victory.
vancouverstuart,StephenKing,-0.34,0.103,0.897,0.0,"RT @StephenKing: The ugliest election in living memory is almost over, but the polls are still open. VOTE, PEOPLE. Do your job."
wvpe,npr,0.0,0.0,1.0,0.0,Explore online results while listening to 88.1 WVPE Public Radio https://t.co/wUtnOPMt4D
cdbarker,stefanielaine,0.8478,0.0,0.545,0.455,"@stefanielaine Hey, this is our first election night as like, friends, this is fun!"
Whyatt,CAC_ACE,0.7102,0.0,0.753,0.247,@CAC_ACE Making Ethical Decision @SoccerNS BMO Facility. Somewhat funny that this is being offered on the eve of th https://t.co/RhojWX4Oqr
Whyatt,twitter,0.7102,0.0,0.753,0.247,@CAC_ACE Making Ethical Decision @SoccerNS BMO Facility. Somewhat funny that this is being offered on the eve of th https://t.co/RhojWX4Oqr
NetflixChili,ComplexMag,0.0,0.0,1.0,0.0,RT @ComplexMag: We're live blogging the series finale of Americajoin us! https://t.co/UYu2z42U0g https://t.co/A2QXki1sar
NetflixChili,complex,0.0,0.0,1.0,0.0,RT @ComplexMag: We're live blogging the series finale of Americajoin us! https://t.co/UYu2z42U0g https://t.co/A2QXki1sar
markjonesaudio,ContenderGame,0.75,0.113,0.543,0.344,RT @ContenderGame: All domestic shipping at TheContender.us is FREE today! Treat yourself for surviving this insane election! Code: Election
FearDept,sexbsex,-0.5114,0.276,0.575,0.149,RT @sexbsex: Lmao people are so brainwashed they get so scared. What a fear induced election. Ah almost done....
tdoyle_86,MannieMforever,-0.8979,0.459,0.541,0.0,"RT @MannieMforever: BREAKING: Florida Election Employees Caught Faking 1,000's of Stolen Absentee Ballots in Massive Voter Fraud https://t."
tdoyle_86,,-0.8979,0.459,0.541,0.0,"RT @MannieMforever: BREAKING: Florida Election Employees Caught Faking 1,000's of Stolen Absentee Ballots in Massive Voter Fraud https://t."
Amac_16,immigrant4trump,0.7506,0.0,0.766,0.234,"RT @immigrant4trump: If you make this go viral, Trump will win. It's about 2 minutes that makes the choice in this election crystal clear h"
PARGANEXTDOOR_,kayyebby,0.5994,0.0,0.794,0.206,RT @kayyebby: your wcw thinks election day &amp; inauguration day are the same thing lmao https://t.co/V1aloSIhj0
PARGANEXTDOOR_,twitter,0.5994,0.0,0.794,0.206,RT @kayyebby: your wcw thinks election day &amp; inauguration day are the same thing lmao https://t.co/V1aloSIhj0
JacobAClark13,NateSilver538,0.4767,0.121,0.603,0.276,"RT @NateSilver538: If Clinton wins Florida, her chances will shoot up to about 93%. https://t.co/ZUCgeSJ5eP"
JacobAClark13,fivethirtyeight,0.4767,0.121,0.603,0.276,"RT @NateSilver538: If Clinton wins Florida, her chances will shoot up to about 93%. https://t.co/ZUCgeSJ5eP"
FAOUOfficial,twitter,0.3612,0.0,0.667,0.333,Gary watching the election like https://t.co/De5EWO7hp8
lunaazul70,t,0.0,0.0,1.0,0.0,"https://t.co/64CmtER4LyLive coverage: Election Day 2016 coverage with Katie Couric, Matt Bai"
JebLadat,JamesOKeefeIII,-0.5423,0.132,0.868,0.0,"RT @JamesOKeefeIII: We just caught election officials telling people who to vote for, crime Under 25 PS 3031.11. I will tag both you and @D"
teokee,DonaldJTrumpJr,0.0,0.0,1.0,0.0,RT @DonaldJTrumpJr: This election my dad did not spend time raising $ from the billionaire elite. Instead he spent time talking to the Amer
waterfunus43,DonaldJTrumpJr,-0.3595,0.098,0.902,0.0,RT @DonaldJTrumpJr: Media elites have done everything they can to stop Trump. WE THE PEOPLE will rise up and take back America! #Trump #Ele
Meganwiley204,DonaldJTrumpJr,-0.3595,0.098,0.902,0.0,RT @DonaldJTrumpJr: Media elites have done everything they can to stop Trump. WE THE PEOPLE will rise up and take back America! #Trump #Ele
von_non_,FareedZakaria,0.3612,0.0,0.783,0.217,@FareedZakaria would you like to get in an election prediction?
BrettSpielberg,netsirk12,0.3818,0.097,0.709,0.194,"RT @netsirk12: It's Election Day. Regardless of the outcome, I hope and pray that I never have to hear ""Fight Song"" ever again. #ElectionDay"
sofiafromkorea,rollcall,0.0,0.0,1.0,0.0,RT @rollcall: We're 2 hours away from the first set of major poll closings. How to watch election night: https://t.co/Bx1NZhAGPH https://t.
sofiafromkorea,rollcall,0.0,0.0,1.0,0.0,RT @rollcall: We're 2 hours away from the first set of major poll closings. How to watch election night: https://t.co/Bx1NZhAGPH https://t.
jjrbs,google,0.0,0.0,1.0,0.0,RT @google: See #ElectionDay results unfold in real time on Google Search  https://t.co/dKfOxCFm2m https://t.co/CnCrDxVEfq
